"rank","title","rating","year","runTime","genre","votes","gross","staff","description"
"1.","Inception","8.8","(2010)","148 min","
Action, Adventure, Sci-Fi            ","1,957,296","$292.58M","
    Director:
Christopher Nolan
                 | 
    Stars:
Leonardo DiCaprio, 
Joseph Gordon-Levitt, 
Ellen Page, 
Ken Watanabe
    ","
    A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O."
"2.","The Dark Knight Rises","8.4","(2012)","164 min","
Action, Adventure            ","1,457,980","$448.14M","
    Director:
Christopher Nolan
                 | 
    Stars:
Christian Bale, 
Tom Hardy, 
Anne Hathaway, 
Gary Oldman
    ","
    Eight years after the Joker's reign of anarchy, Batman, with the help of the enigmatic Catwoman, is forced from his exile to save Gotham City from the brutal guerrilla terrorist Bane."
"3.","Interstellar","8.6","(2014)","169 min","
Adventure, Drama, Sci-Fi            ","1,408,138","$188.02M","
    Director:
Christopher Nolan
                 | 
    Stars:
Matthew McConaughey, 
Anne Hathaway, 
Jessica Chastain, 
Mackenzie Foy
    ","
    A team of explorers travel through a wormhole in space in an attempt to ensure humanity's survival."
"4.","Django Unchained","8.4","(2012)","165 min","
Drama, Western            ","1,290,828","$162.81M","
    Director:
Quentin Tarantino
                 | 
    Stars:
Jamie Foxx, 
Christoph Waltz, 
Leonardo DiCaprio, 
Kerry Washington
    ","
    With the help of a German bounty hunter, a freed slave sets out to rescue his wife from a brutal Mississippi plantation owner."
"5.","The Avengers","8.0","(2012)","143 min","
Action, Adventure, Sci-Fi            ","1,228,764","$623.28M","
    Director:
Joss Whedon
                 | 
    Stars:
Robert Downey Jr., 
Chris Evans, 
Scarlett Johansson, 
Jeremy Renner
    ","
    Earth's mightiest heroes must come together and learn to fight as a team if they are going to stop the mischievous Loki and his alien army from enslaving humanity."
"6.","The Wolf of Wall Street","8.2","(2013)","180 min","
Biography, Crime, Drama            ","1,112,087","$116.90M","
    Director:
Martin Scorsese
                 | 
    Stars:
Leonardo DiCaprio, 
Jonah Hill, 
Margot Robbie, 
Matthew McConaughey
    ","
    Based on the true story of Jordan Belfort, from his rise to a wealthy stock-broker living the high life to his fall involving crime, corruption and the federal government."
"7.","Shutter Island","8.1","(2010)","138 min","
Mystery, Thriller            ","1,073,232","$128.01M","
    Director:
Martin Scorsese
                 | 
    Stars:
Leonardo DiCaprio, 
Emily Mortimer, 
Mark Ruffalo, 
Ben Kingsley
    ","
    In 1954, a U.S. Marshal investigates the disappearance of a murderer who escaped from a hospital for the criminally insane."
"8.","Guardians of the Galaxy","8.0","(2014)","121 min","
Action, Adventure, Comedy            ","1,009,611","$333.18M","
    Director:
James Gunn
                 | 
    Stars:
Chris Pratt, 
Vin Diesel, 
Bradley Cooper, 
Zoe Saldana
    ","
    A group of intergalactic criminals must pull together to stop a fanatical warrior with plans to purge the universe."
"9.","Deadpool","8.0","(2016)","108 min","
Action, Adventure, Comedy            ","869,459","$363.07M","
    Director:
Tim Miller
                 | 
    Stars:
Ryan Reynolds, 
Morena Baccarin, 
T.J. Miller, 
Ed Skrein
    ","
    A wisecracking mercenary gets experimented on and becomes immortal but ugly, and sets out to track down the man who ruined his looks."
"10.","Mad Max: Fury Road","8.1","(2015)","120 min","
Action, Adventure, Sci-Fi            ","835,933","$154.06M","
    Director:
George Miller
                 | 
    Stars:
Tom Hardy, 
Charlize Theron, 
Nicholas Hoult, 
Zo<U+00EB> Kravitz
    ","
    In a post-apocalyptic wasteland, a woman rebels against a tyrannical ruler in search for her homeland with the aid of a group of female prisoners, a psychotic worshiper, and a drifter named Max."
"11.","Star Wars: Episode VII - The Force Awakens","7.9","(2015)","138 min","
Action, Adventure, Sci-Fi            ","835,102","$936.66M","
    Director:
J.J. Abrams
                 | 
    Stars:
Daisy Ridley, 
John Boyega, 
Oscar Isaac, 
Domhnall Gleeson
    ","
    Three decades after the Empire's defeat, a new threat arises in the militant First Order. Defected stormtrooper Finn and the scavenger Rey are caught up in the Resistance's search for the missing Luke Skywalker."
"12.","The Hunger Games","7.2","(2012)","142 min","
Action, Adventure, Sci-Fi            ","820,504","$408.01M","
    Director:
Gary Ross
                 | 
    Stars:
Jennifer Lawrence, 
Josh Hutcherson, 
Liam Hemsworth, 
Stanley Tucci
    ","
    Katniss Everdeen voluntarily takes her younger sister's place in the Hunger Games: a televised competition in which two teenagers from each of the twelve Districts of Panem are chosen at random to fight to the death."
"13.","Gone Girl","8.1","(2014)","149 min","
Drama, Mystery, Thriller            ","814,804","$167.77M","
    Director:
David Fincher
                 | 
    Stars:
Ben Affleck, 
Rosamund Pike, 
Neil Patrick Harris, 
Tyler Perry
    ","
    With his wife's disappearance having become the focus of an intense media circus, a man sees the spotlight turned on him when it's suspected that he may not be innocent."
"14.","Joker","8.5","(2019)","122 min","
Crime, Drama, Thriller            ","774,816","$335.45M","
    Director:
Todd Phillips
                 | 
    Stars:
Joaquin Phoenix, 
Robert De Niro, 
Zazie Beetz, 
Frances Conroy
    ","
    In Gotham City, mentally troubled comedian Arthur Fleck is disregarded and mistreated by society. He then embarks on a downward spiral of revolution and bloody crime. This path brings him face-to-face with his alter-ego: the Joker."
"15.","Avengers: Infinity War","8.5","(2018)","149 min","
Action, Adventure, Sci-Fi            ","769,565","$678.82M","
    Directors:
Anthony Russo, 
Joe Russo
                 | 
    Stars:
Robert Downey Jr., 
Chris Hemsworth, 
Mark Ruffalo, 
Chris Evans
    ","
    The Avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful Thanos before his blitz of devastation and ruin puts an end to the universe."
"16.","Gravity","7.7","(2013)","91 min","
Drama, Sci-Fi, Thriller            ","745,171","$274.09M","
    Director:
Alfonso Cuar¨®n
                 | 
    Stars:
Sandra Bullock, 
George Clooney, 
Ed Harris, 
Orto Ignatiussen
    ","
    Two astronauts work together to survive after an accident leaves them stranded in space."
"17.","The Hobbit: An Unexpected Journey","7.8","(2012)","169 min","
Adventure, Family, Fantasy            ","739,503","$303.00M","
    Director:
Peter Jackson
                 | 
    Stars:
Martin Freeman, 
Ian McKellen, 
Richard Armitage, 
Andy Serkis
    ","
    A reluctant Hobbit, Bilbo Baggins, sets out to the Lonely Mountain with a spirited group of dwarves to reclaim their mountain home, and the gold within it from the dragon Smaug."
"18.","Harry Potter and the Deathly Hallows: Part 2","8.1","(2011)","130 min","
Adventure, Drama, Fantasy            ","729,914","$381.01M","
    Director:
David Yates
                 | 
    Stars:
Daniel Radcliffe, 
Emma Watson, 
Rupert Grint, 
Michael Gambon
    ","
    Harry, Ron, and Hermione search for Voldemort's remaining Horcruxes in their effort to destroy the Dark Lord as the final battle rages on at Hogwarts."
"19.","Iron Man Three","7.2","(2013)","130 min","
Action, Adventure, Sci-Fi            ","729,556","$409.01M","
    Director:
Shane Black
                 | 
    Stars:
Robert Downey Jr., 
Guy Pearce, 
Gwyneth Paltrow, 
Don Cheadle
    ","
    When Tony Stark's world is torn apart by a formidable terrorist called the Mandarin, he starts an odyssey of rebuilding and retribution."
"20.","Toy Story 3","8.3","(2010)","103 min","
Animation, Adventure, Comedy            ","728,359","$415.00M","
    Director:
Lee Unkrich
                 | 
    Stars:
Tom Hanks, 
Tim Allen, 
Joan Cusack, 
Ned Beatty
    ","
    The toys are mistakenly delivered to a day-care center instead of the attic right before Andy leaves for college, and it's up to Woody to convince the other toys that they weren't abandoned and to return home."
"21.","The Martian","8.0","(2015)","144 min","
Adventure, Drama, Sci-Fi            ","726,595","$228.43M","
    Director:
Ridley Scott
                 | 
    Stars:
Matt Damon, 
Jessica Chastain, 
Kristen Wiig, 
Kate Mara
    ","
    An astronaut becomes stranded on Mars after his team assume him dead, and must rely on his ingenuity to find a way to signal to Earth that he is alive."
"22.","The Intouchables","8.5","(2011)","112 min","
Biography, Comedy, Drama            ","723,443","$13.18M","
    Directors:
Olivier Nakache, 
¨¦ric Toledano
                 | 
    Stars:
Fran<U+00E7>ois Cluzet, 
Omar Sy, 
Anne Le Ny, 
Audrey Fleurot
    ","
    After he becomes a quadriplegic from a paragliding accident, an aristocrat hires a young man from the projects to be his caregiver."
"23.","Thor","7.0","(2011)","115 min","
Action, Adventure, Fantasy            ","720,662","$181.03M","
    Director:
Kenneth Branagh
                 | 
    Stars:
Chris Hemsworth, 
Anthony Hopkins, 
Natalie Portman, 
Tom Hiddleston
    ","
    The powerful but arrogant god Thor is cast out of Asgard to live amongst humans in Midgard (Earth), where he soon becomes one of their finest defenders."
"24.","Captain America: The First Avenger","6.9","(2011)","124 min","
Action, Adventure, Sci-Fi            ","711,122","$176.65M","
    Director:
Joe Johnston
                 | 
    Stars:
Chris Evans, 
Hugo Weaving, 
Samuel L. Jackson, 
Hayley Atwell
    ","
    Steve Rogers, a rejected military soldier, transforms into Captain America after taking a dose of a ""Super-Soldier serum"". But being Captain America comes at a price as he attempts to take down a war monger and a terrorist organization."
"25.","Avengers: Age of Ultron","7.3","(2015)","141 min","
Action, Adventure, Sci-Fi            ","710,367","$459.01M","
    Director:
Joss Whedon
                 | 
    Stars:
Robert Downey Jr., 
Chris Evans, 
Mark Ruffalo, 
Chris Hemsworth
    ","
    When Tony Stark and Bruce Banner try to jump-start a dormant peacekeeping program called Ultron, things go horribly wrong and it's up to Earth's mightiest heroes to stop the villainous Ultron from enacting his terrible plan."
"26.","Avengers: Endgame","8.4","(2019)","181 min","
Action, Adventure, Drama            ","709,103","$858.37M","
    Directors:
Anthony Russo, 
Joe Russo
                 | 
    Stars:
Robert Downey Jr., 
Chris Evans, 
Mark Ruffalo, 
Chris Hemsworth
    ","
    After the devastating events of Avengers: Infinity War (2018), the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to reverse Thanos' actions and restore balance to the universe."
"27.","Captain America: The Winter Soldier","7.7","(2014)","136 min","
Action, Adventure, Sci-Fi            ","707,813","$259.77M","
    Directors:
Anthony Russo, 
Joe Russo
                 | 
    Stars:
Chris Evans, 
Samuel L. Jackson, 
Scarlett Johansson, 
Robert Redford
    ","
    As Steve Rogers struggles to embrace his role in the modern world, he teams up with a fellow Avenger and S.H.I.E.L.D agent, Black Widow, to battle a new threat from history: an assassin known as the Winter Soldier."
"28.","Iron Man 2","7.0","(2010)","124 min","
Action, Adventure, Sci-Fi            ","695,765","$312.43M","
    Director:
Jon Favreau
                 | 
    Stars:
Robert Downey Jr., 
Mickey Rourke, 
Gwyneth Paltrow, 
Don Cheadle
    ","
    With the world now aware of his identity as Iron Man, Tony Stark must contend with both his declining health and a vengeful mad man with ties to his father's legacy."
"29.","Black Swan","8.0","(2010)","108 min","
Drama, Thriller            ","677,348","$106.95M","
    Director:
Darren Aronofsky
                 | 
    Stars:
Natalie Portman, 
Mila Kunis, 
Vincent Cassel, 
Winona Ryder
    ","
    A committed dancer struggles to maintain her sanity after winning the lead role in a production of Tchaikovsky's ""Swan Lake""."
"30.","The Grand Budapest Hotel","8.1","(2014)","99 min","
Adventure, Comedy, Crime            ","673,715","$59.10M","
    Director:
Wes Anderson
                 | 
    Stars:
Ralph Fiennes, 
F. Murray Abraham, 
Mathieu Amalric, 
Adrien Brody
    ","
    A writer encounters the owner of an aging high-class hotel, who tells him of his early years serving as a lobby boy in the hotel's glorious years under an exceptional concierge."
"31.","Whiplash","8.5","(2014)","106 min","
Drama, Music            ","672,767","$13.09M","
    Director:
Damien Chazelle
                 | 
    Stars:
Miles Teller, 
J.K. Simmons, 
Melissa Benoist, 
Paul Reiser
    ","
    A promising young drummer enrolls at a cut-throat music conservatory where his dreams of greatness are mentored by an instructor who will stop at nothing to realize a student's potential."
"32.","The Revenant","8.0","(2015)","156 min","
Action, Adventure, Biography            ","670,966","$183.64M","
    Director:
Alejandro G. I<U+00F1>¨¢rritu
                 | 
    Stars:
Leonardo DiCaprio, 
Tom Hardy, 
Will Poulter, 
Domhnall Gleeson
    ","
    A frontiersman on a fur trading expedition in the 1820s fights for survival after being mauled by a bear and left for dead by members of his own hunting team."
"33.","Man of Steel","7.0","(2013)","143 min","
Action, Adventure, Sci-Fi            ","670,842","$291.05M","
    Director:
Zack Snyder
                 | 
    Stars:
Henry Cavill, 
Amy Adams, 
Michael Shannon, 
Diane Lane
    ","
    An alien child is evacuated from his dying world and sent to Earth to live among humans. His peace is threatened, when survivors of his home planet invade Earth."
"34.","The Imitation Game","8.0","(2014)","114 min","
Biography, Drama, Thriller            ","654,669","$91.13M","
    Director:
Morten Tyldum
                 | 
    Stars:
Benedict Cumberbatch, 
Keira Knightley, 
Matthew Goode, 
Allen Leech
    ","
    During World War II, the English mathematical genius Alan Turing tries to crack the German Enigma code with help from fellow mathematicians."
"35.","X-Men: Days of Future Past","8.0","(2014)","132 min","
Action, Adventure, Sci-Fi            ","643,580","$233.92M","
    Director:
Bryan Singer
                 | 
    Stars:
Patrick Stewart, 
Ian McKellen, 
Hugh Jackman, 
James McAvoy
    ","
    The X-Men send Wolverine to the past in a desperate effort to change history and prevent an event that results in doom for both humans and mutants."
"36.","Silver Linings Playbook","7.7","(2012)","122 min","
Comedy, Drama, Romance            ","643,339","$132.09M","
    Director:
David O. Russell
                 | 
    Stars:
Bradley Cooper, 
Jennifer Lawrence, 
Robert De Niro, 
Jacki Weaver
    ","
    After a stint in a mental institution, former teacher Pat Solitano moves back in with his parents and tries to reconcile with his ex-wife. Things get more challenging when Pat meets Tiffany, a mysterious girl with problems of her own."
"37.","How to Train Your Dragon","8.1","(2010)","98 min","
Animation, Action, Adventure            ","641,710","$217.58M","
    Directors:
Dean DeBlois, 
Chris Sanders
                 | 
    Stars:
Jay Baruchel, 
Gerard Butler, 
Christopher Mintz-Plasse, 
Craig Ferguson
    ","
    A hapless young Viking who aspires to hunt dragons becomes the unlikely friend of a young dragon himself, and learns there may be more to the creatures than he assumed."
"38.","Captain America: Civil War","7.8","(2016)","147 min","
Action, Adventure, Sci-Fi            ","631,368","$408.08M","
    Directors:
Anthony Russo, 
Joe Russo
                 | 
    Stars:
Chris Evans, 
Robert Downey Jr., 
Scarlett Johansson, 
Sebastian Stan
    ","
    Political involvement in the Avengers' affairs causes a rift between Captain America and Iron Man."
