"rank","title","rating","year","runTime","genre","votes","gross","director","stars","description"
1,"Inception",8.8,2010,148,"Action",1957296,292.58,"Christopher Nolan","Leonardo DiCaprio, Joseph Gordon-Levitt, Ellen Page, Ken Watanabe","A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O."
2,"The Dark Knight Rises",8.4,2012,164,"Action",1457980,448.14,"Christopher Nolan","Christian Bale, Tom Hardy, Anne Hathaway, Gary Oldman","Eight years after the Joker's reign of anarchy, Batman, with the help of the enigmatic Catwoman, is forced from his exile to save Gotham City from the brutal guerrilla terrorist Bane."
3,"Interstellar",8.6,2014,169,"Adventure",1408138,188.02,"Christopher Nolan","Matthew McConaughey, Anne Hathaway, Jessica Chastain, Mackenzie Foy","A team of explorers travel through a wormhole in space in an attempt to ensure humanity's survival."
4,"Django Unchained",8.4,2012,165,"Drama",1290828,162.81,"Quentin Tarantino","Jamie Foxx, Christoph Waltz, Leonardo DiCaprio, Kerry Washington","With the help of a German bounty hunter, a freed slave sets out to rescue his wife from a brutal Mississippi plantation owner."
5,"The Avengers",8,2012,143,"Action",1228764,623.28,"Joss Whedon","Robert Downey Jr., Chris Evans, Scarlett Johansson, Jeremy Renner","Earth's mightiest heroes must come together and learn to fight as a team if they are going to stop the mischievous Loki and his alien army from enslaving humanity."
6,"The Wolf of Wall Street",8.2,2013,180,"Biography",1112087,116.9,"Martin Scorsese","Leonardo DiCaprio, Jonah Hill, Margot Robbie, Matthew McConaughey","Based on the true story of Jordan Belfort, from his rise to a wealthy stock-broker living the high life to his fall involving crime, corruption and the federal government."
7,"Shutter Island",8.1,2010,138,"Mystery",1073232,128.01,"Martin Scorsese","Leonardo DiCaprio, Emily Mortimer, Mark Ruffalo, Ben Kingsley","In 1954, a U.S. Marshal investigates the disappearance of a murderer who escaped from a hospital for the criminally insane."
8,"Guardians of the Galaxy",8,2014,121,"Action",1009611,333.18,"James Gunn","Chris Pratt, Vin Diesel, Bradley Cooper, Zoe Saldana","A group of intergalactic criminals must pull together to stop a fanatical warrior with plans to purge the universe."
9,"Deadpool",8,2016,108,"Action",869459,363.07,"Tim Miller","Ryan Reynolds, Morena Baccarin, T.J. Miller, Ed Skrein","A wisecracking mercenary gets experimented on and becomes immortal but ugly, and sets out to track down the man who ruined his looks."
10,"Mad Max: Fury Road",8.1,2015,120,"Action",835933,154.06,"George Miller","Tom Hardy, Charlize Theron, Nicholas Hoult, Zo<U+00EB> Kravitz","In a post-apocalyptic wasteland, a woman rebels against a tyrannical ruler in search for her homeland with the aid of a group of female prisoners, a psychotic worshiper, and a drifter named Max."
11,"Star Wars: Episode VII - The Force Awakens",7.9,2015,138,"Action",835102,936.66,"J.J. Abrams","Daisy Ridley, John Boyega, Oscar Isaac, Domhnall Gleeson","Three decades after the Empire's defeat, a new threat arises in the militant First Order. Defected stormtrooper Finn and the scavenger Rey are caught up in the Resistance's search for the missing Luke Skywalker."
12,"The Hunger Games",7.2,2012,142,"Action",820504,408.01,"Gary Ross","Jennifer Lawrence, Josh Hutcherson, Liam Hemsworth, Stanley Tucci","Katniss Everdeen voluntarily takes her younger sister's place in the Hunger Games: a televised competition in which two teenagers from each of the twelve Districts of Panem are chosen at random to fight to the death."
13,"Gone Girl",8.1,2014,149,"Drama",814804,167.77,"David Fincher","Ben Affleck, Rosamund Pike, Neil Patrick Harris, Tyler Perry","With his wife's disappearance having become the focus of an intense media circus, a man sees the spotlight turned on him when it's suspected that he may not be innocent."
